Date;Dated Brent;Propane;Gasoline;Jet;Gasoil;FO 1%;ULSD;Naphtha;Butane;FO 3.5%;VGO 0.5%;FO 0.5%;VGO 2%;
01.04.2012;119.5;-47.3526843;18.39353886;17.15300412;15.06836703;-1.152038024;18.71956566;-4.867701944;-42.21788175;-12.51165984;10.43269922;;5.701098737;
01.05.2012;110.2;-54.13317473;13.10728137;17.95922289;15.53356633;-3.080434611;18.09660602;-12.49196329;-47.66080402;-11.51448071;6.916565318;;2.842443498;
01.06.2012;94.8;-47.43754074;17.1123024;18.99906245;17.58148804;-0.306752144;20.52930339;-13.88193813;-48.04909311;-7.702394903;8.115345951;;3.858971721;
01.07.2012;102.6;-43.47167456;15.62294882;18.91455167;17.00306118;-1.527876404;21.46031669;-10.77462711;-46.5506238;-10.8157106;7.562031912;;3.375861559;
01.08.2012;113.4;-41.36932042;16.98781957;20.15320517;16.31591706;-2.372083216;21.51205674;-9.268364366;-44.81149127;-13.68295226;8.872216297;;5.718564601;
01.09.2012;112.9;-35.70484984;20.29461863;23.61104943;19.63405724;-0.180374308;25.49379942;-5.402572581;-37.61166269;-12.25782411;9.259531892;;7.336802647;
01.10.2012;111.6;-32.19308127;12.65297488;22.22320932;21.39769799;-8.243328428;26.54421162;-5.419844755;-34.32784005;-16.19774172;4.66860447;;0.034811661;
01.11.2012;109.1;-28.86374422;6.908160277;19.87477692;17.1136374;-11.14557223;22.86488562;-5.550389827;-30.27329786;-18.10289459;-1.269140742;;-5.667331501;
01.12.2012;109.4;-33.53131297;5.691301168;19.28096812;15.85249784;-13.20068668;18.54453746;-4.718477674;-37.98371257;-19.5922653;-0.679250107;;-2.432077359;
01.01.2013;113;-45.53549215;8.717854516;19.27211753;16.28726864;-10.28783159;18.1672203;-9.092314165;-43.85696571;-17.800823;2.351781011;;0.192488586;
01.02.2013;116.3;-48.153824;13.99369481;21.3305917;18.18968501;-8.698824411;19.93703293;-5.952717186;-43.05202291;-17.87698933;9.365891452;;7.651977654;
01.03.2013;108.4;-46.22954376;14.64850101;17.73768429;14.86057393;-8.285340179;18.78833007;-7.222189999;-43.02635175;-14.43081756;7.316629131;;5.939161742;
01.04.2013;101.9;-47.49348811;14.07834147;16.07074799;14.42476162;-7.119045512;18.08395324;-11.10429695;-44.44390457;-11.31704732;4.501232611;;2.457454506;
01.05.2013;102.5;-48.85648888;12.79976044;14.72324235;14.11172118;-5.957299198;17.16226385;-9.928004304;-45.16407119;-11.73191324;4.87018356;;3.401833268;
01.06.2013;102.9;-43.10144049;13.34474835;16.76227877;15.3052458;-5.424175312;18.1788862;-9.07590267;-43.39118207;-12.50949937;7.018341192;;5.811550622;
01.07.2013;108;-44.0871082;14.03668905;16.1053292;15.04534651;-11.86985777;17.64341635;-10.42296199;-44.23691584;-14.91010111;6.781298751;;5.030754801;
01.08.2013;111.3;-47.24928615;13.46164599;16.30740898;14.74721428;-13.29449884;18.01881847;-9.500895692;-44.42305991;-17.82483258;5.08858515;;3.234639269;
01.09.2013;111.9;-50.44374483;6.308502442;15.46846048;14.67865005;-13.88780262;18.12362949;-8.466483129;-42.4040685;-19.48306809;-0.397056421;;-2.117168822;
01.10.2013;109;-46.09044244;4.714422289;17.40258534;16.35112339;-13.44893807;18.44563475;-8.724500411;-42.06265994;-17.93040838;1.747578511;;-0.945445096;
01.11.2013;108;-34.59644796;5.06144214;17.03177716;15.57852382;-12.47368304;17.09079786;-4.591832989;-35.62378137;-18.7880541;0.862580479;;-1.114085224;
01.12.2013;110.8;-36.33863797;4.87889663;18.10229281;15.92164236;-12.91833785;17.83974239;-4.390861816;-33.4572398;-20.55572971;3.486910682;;0.936091527;
01.01.2014;108.3;-41.28493003;5.220331238;16.70128196;15.22070469;-13.46295663;16.20446821;-6.018240557;-36.8383671;-20.4376051;7.529104401;;5.37059803;
01.02.2014;108.9;-46.69218814;8.100856779;16.23169851;15.56908597;-8.28008473;17.19222281;-7.235661568;-43.45804561;-18.57937821;10.006785;;8.055128941;
01.03.2014;107.5;-47.39142913;10.47282529;14.51164608;14.24564379;-6.146931798;16.27266649;-6.163731395;-43.42752564;-17.65127493;8.15249728;;6.330796658;
01.04.2014;107.6;-47.83207856;14.73527663;14.82889282;14.67136513;-7.837602871;17.07166055;-4.797507584;-46.04877963;-17.9852078;5.996324782;;3.713407382;
01.05.2014;109.6;-50.70117267;11.98816887;13.33573643;12.73688493;-9.16680269;13.91643252;-5.300273789;-52.48625133;-20.20101279;4.616429839;;2.868494162;
01.06.2014;111.7;-50.70203956;14.27362399;12.71854948;10.89130462;-9.745294239;12.59700905;-5.70828778;-51.4720735;-20.27482779;4.075596857;;2.214294048;
01.07.2014;106.6;-47.30139781;15.4505828;16.16784889;13.58367884;-10.30492299;15.30453521;-2.574158969;-43.97158268;-17.46870534;4.170774421;;0.498326584;
01.08.2014;101.6;-47.90841854;13.00899077;18.53864499;15.75218746;-10.22207617;18.04457749;-5.292611897;-43.16888765;-14.03310773;-0.193127264;;-2.827533645;
